날짜,예측환율,실제환율
2019-02-27,1132.26,1118.3
2019-02-28,1131.8,1117.8
2019-03-04,1131.38,1119.9
2019-03-05,1131.62,1125.0
2019-03-06,1131.9,1125.8
2019-03-07,1131.87,1127.8
2019-03-08,1132.12,1128.3
2019-03-11,1132.69,1134.0
2019-03-12,1133.58,1134.5
2019-03-13,1134.39,1128.7
2019-03-14,1134.92,1131.5
2019-03-15,1135.79,1132.7
2019-03-18,1136.7,1136.1
2019-03-19,1137.74,1133.7
2019-03-20,1138.27,1130.9
2019-03-21,1138.12,1130.4
2019-03-22,1137.91,1125.8
2019-03-25,1137.42,1129.8
2019-03-26,1137.87,1134.9
2019-03-27,1138.23,1132.1
2019-03-28,1138.38,1134.7
2019-03-29,1138.74,1137.8
2019-04-01,1138.83,1136.1
2019-04-02,1139.46,1132.7
2019-04-03,1139.66,1135.8
2019-04-04,1140.26,1134.9
2019-04-05,1140.71,1135.5
2019-04-08,1141.12,1136.4
2019-04-09,1141.56,1141.4
2019-04-10,1142.2,1142.8
2019-04-11,1142.77,1141.2
2019-04-12,1143.17,1139.2
2019-04-15,1143.75,1140.5
2019-04-16,1143.62,1133.9
2019-04-17,1143.69,1135.7
2019-04-18,1143.77,1136.1
2019-04-19,1143.61,1136.2
2019-04-22,1143.77,1137.1
2019-04-23,1143.6,1140.8
2019-04-24,1143.67,1141.1
2019-04-25,1144.23,1146.9
2019-04-26,1145.66,1158.7
2019-04-29,1147.57,1159.7
2019-04-30,1149.48,1158.2
2019-05-02,1151.18,1163.8
2019-05-03,1153.62,1163.9
2019-05-07,1156.13,1169.4
2019-05-08,1158.65,1169.8
2019-05-09,1161.42,1169.9
2019-05-10,1163.85,1175.8
2019-05-13,1166.41,1178.1
2019-05-14,1168.15,1183.1
2019-05-15,1171.03,1187.0
2019-05-16,1173.33,1189.4
2019-05-17,1175.82,1189.8
2019-05-20,1178.24,1192.7
2019-05-21,1180.62,1192.9
2019-05-22,1182.98,1193.3
2019-05-23,1184.81,1194.6
2019-05-24,1186.07,1191.2
2019-05-27,1187.22,1189.6
2019-05-28,1187.89,1184.1
2019-05-29,1188.0,1187.6
2019-05-30,1188.42,1193.1
2019-05-31,1188.85,1190.0
2019-06-03,1188.48,1191.2
2019-06-04,1187.84,1183.0
2019-06-05,1186.75,1181.5
2019-06-07,1185.68,1179.8
2019-06-10,1184.5,1179.5
2019-06-11,1183.95,1184.0
2019-06-12,1183.46,1181.7
2019-06-13,1182.57,1181.7
2019-06-14,1181.99,1184.7
2019-06-17,1181.58,1184.0
2019-06-18,1181.62,1186.3
2019-06-19,1181.74,1185.0
2019-06-20,1180.98,1177.0
2019-06-21,1180.25,1167.7
2019-06-24,1178.65,1162.0
2019-06-25,1176.98,1157.9
2019-06-26,1174.9,1154.7
2019-06-27,1173.06,1158.2
2019-06-28,1170.79,1156.8
2019-07-01,1168.65,1156.4
2019-07-02,1166.59,1155.4
2019-07-03,1164.76,1164.8
2019-07-04,1163.99,1170.4
2019-07-05,1163.94,1169.2
2019-07-08,1164.53,1170.4
2019-07-09,1165.56,1178.5
2019-07-10,1167.19,1179.9
2019-07-11,1168.94,1181.4
2019-07-12,1170.57,1173.8
2019-07-15,1171.91,1177.3
2019-07-16,1173.34,1179.2
2019-07-17,1174.72,1178.5
2019-07-18,1175.73,1180.4
2019-07-19,1176.46,1179.5
2019-07-22,1176.69,1173.4
2019-07-23,1177.03,1177.6
2019-07-24,1177.31,1178.4
2019-07-25,1177.82,1178.2
2019-07-26,1178.3,1179.8
2019-07-29,1178.88,1184.2
2019-07-30,1179.36,1183.4
2019-07-31,1179.65,1182.0
2019-08-01,1180.1,1181.9
2019-08-02,1180.5,1188.5
2019-08-05,1181.65,1194.8
2019-08-06,1183.1,1211.8
2019-08-07,1185.9,1214.3
2019-08-08,1188.26,1214.5
2019-08-09,1190.86,1211.3
2019-08-12,1193.02,1209.7
2019-08-13,1195.47,1215.6
2019-08-14,1198.72,1218.9
2019-08-16,1200.61,1211.7
2019-08-19,1202.97,1213.3
2019-08-20,1204.47,1210.7
2019-08-21,1205.39,1210.2
2019-08-22,1205.89,1204.0
2019-08-23,1205.78,1205.1
2019-08-26,1205.59,1212.2
2019-08-27,1206.19,1218.2
2019-08-28,1206.2,1213.1
2019-08-29,1206.39,1213.5
2019-08-30,1206.57,1215.2
2019-09-02,1206.55,1209.6
2019-09-03,1206.87,1211.9
2019-09-04,1207.37,1215.2
2019-09-05,1207.8,1209.7
2019-09-06,1207.84,1199.6
2019-09-09,1206.9,1196.9
2019-09-10,1205.23,1192.4
2019-09-11,1204.15,1191.9
2019-09-16,1202.86,1191.4
2019-09-17,1201.24,1184.0
2019-09-18,1199.38,1188.3
2019-09-19,1197.62,1190.5
2019-09-20,1195.82,1195.1
2019-09-23,1194.85,1191.1
2019-09-24,1194.0,1193.1
2019-09-25,1193.04,1194.0
2019-09-26,1193.0,1198.3
2019-09-27,1193.22,1199.1
2019-09-30,1193.67,1201.3
2019-10-01,1194.32,1199.2
2019-10-02,1194.5,1198.2
2019-10-04,1194.88,1203.7
2019-10-07,1195.49,1197.0
2019-10-08,1195.6,1196.5
2019-10-10,1195.71,1194.7
2019-10-11,1195.84,1196.1
2019-10-14,1195.52,1189.3
2019-10-15,1194.78,1183.7
2019-10-16,1193.88,1184.1
2019-10-17,1192.78,1187.0
2019-10-18,1191.63,1186.6
2019-10-21,1190.07,1180.5
2019-10-22,1188.69,1175.4
2019-10-23,1186.69,1171.4
2019-10-24,1184.73,1173.7
2019-10-25,1183.02,1171.0
2019-10-28,1181.96,1174.2
2019-10-29,1180.87,1169.6
2019-10-30,1179.47,1166.5
2019-10-31,1177.95,1168.4
2019-11-01,1176.17,1161.7
2019-11-04,1175.23,1167.6
2019-11-05,1174.32,1160.4
2019-11-06,1173.41,1160.1
2019-11-07,1171.96,1157.5
2019-11-08,1171.07,1160.6
2019-11-11,1170.27,1156.1
2019-11-12,1169.29,1161.3
2019-11-13,1168.78,1163.5
2019-11-14,1168.45,1167.6
2019-11-15,1168.46,1170.4
2019-11-18,1168.64,1166.3
2019-11-19,1168.33,1164.5
2019-11-20,1168.45,1168.6
2019-11-21,1168.77,1170.1
2019-11-22,1169.67,1176.5
2019-11-25,1171.15,1177.8
2019-11-26,1172.6,1176.2
2019-11-27,1173.27,1174.4
2019-11-28,1173.98,1176.0
2019-11-29,1174.94,1179.3
2019-12-02,1175.94,1180.3
2019-12-03,1176.99,1180.4
2019-12-04,1178.11,1186.2
2019-12-05,1179.49,1193.7
2019-12-06,1181.02,1190.2
2019-12-09,1182.5,1189.7
2019-12-10,1183.58,1189.3
2019-12-11,1184.79,1192.0
2019-12-12,1185.82,1193.3
2019-12-13,1187.19,1188.6
2019-12-16,1186.91,1171.7
2019-12-17,1186.6,1172.9
2019-12-18,1185.36,1166.7
2019-12-19,1183.78,1165.3
2019-12-20,1182.28,1164.5
2019-12-23,1180.47,1162.6
2019-12-24,1178.22,1161.7
2019-12-26,1176.02,1163.7
2019-12-27,1173.89,1161.2
2019-12-30,1171.9,1160.9
2019-12-31,1170.13,1157.8
2020-01-02,1168.48,1157.8
2020-01-03,1167.21,1156.9
2020-01-06,1166.19,1162.7
