예측날짜_일별,예측환율_일별,예측환율_일별_최소,예측환율_일별_최대
2024-07-20,,,
2024-07-21,,,
2024-07-22,1358.44,1346.94,1369.94
2024-07-23,1371.48,1359.98,1382.98
2024-07-24,1377.89,1366.39,1389.39
2024-07-25,1380.31,1368.81,1391.81
2024-07-26,1382.18,1370.68,1393.68
2024-07-27,,,
2024-07-28,,,
2024-07-29,1382.7,1371.2,1394.2
2024-07-30,1381.61,1370.11,1393.11
2024-07-31,1382.45,1370.95,1393.95
2024-08-01,1383.03,1371.53,1394.53
2024-08-02,1383.39,1371.89,1394.89
2024-08-03,,,
2024-08-04,,,
2024-08-05,1384.85,1373.35,1396.35
2024-08-06,1383.2,1371.7,1394.7
2024-08-07,1385.06,1373.56,1396.56
2024-08-08,1386.77,1375.27,1398.27
2024-08-09,1387.41,1375.91,1398.91
2024-08-10,,,
2024-08-11,,,
2024-08-12,1387.18,1375.68,1398.68
2024-08-13,1387.34,1375.84,1398.84
2024-08-14,1387.95,1376.45,1399.45
2024-08-15,1388.14,1376.64,1399.64
2024-08-16,1388.77,1377.27,1400.27
2024-08-17,,,
2024-08-18,,,
2024-08-19,1388.57,1377.07,1400.07
2024-08-20,1386.74,1375.24,1398.24
2024-08-21,1387.87,1376.37,1399.37
2024-08-22,1387.6,1376.1,1399.1
2024-08-23,1385.77,1374.27,1397.27
2024-08-24,,,
2024-08-25,,,
2024-08-26,1384.01,1372.51,1395.51
2024-08-27,1382.09,1370.59,1393.59
2024-08-28,1382.14,1370.64,1393.64
2024-08-29,1381.81,1370.31,1393.31
2024-08-30,1382.44,1370.94,1393.94
