예측날짜_일별,예측환율_일별,예측환율_일별_최소,예측환율_일별_최대
2024-07-20,,,
2024-07-21,,,
2024-07-22,1358.44,1348.03,1368.85
2024-07-23,1371.48,1361.07,1381.89
2024-07-24,1377.89,1367.48,1388.3
2024-07-25,1380.31,1369.9,1390.72
2024-07-26,1382.18,1371.77,1392.59
2024-07-27,1382.18,1371.77,1392.59
2024-07-28,1382.18,1371.77,1392.59
2024-07-29,1382.7,1372.29,1393.11
2024-07-30,1381.61,1371.2,1392.02
2024-07-31,1382.45,1372.04,1392.86
2024-08-01,1383.03,1372.62,1393.44
2024-08-02,1383.39,1372.98,1393.8
2024-08-03,1383.39,1372.98,1393.8
2024-08-04,1383.39,1372.98,1393.8
2024-08-05,1384.85,1374.44,1395.26
2024-08-06,1383.2,1372.79,1393.61
2024-08-07,1385.06,1374.65,1395.47
2024-08-08,1386.77,1376.36,1397.18
2024-08-09,1387.41,1377.0,1397.82
2024-08-10,1387.41,1377.0,1397.82
2024-08-11,1387.41,1377.0,1397.82
2024-08-12,1387.18,1376.77,1397.59
2024-08-13,1387.34,1376.93,1397.75
2024-08-14,1387.95,1377.54,1398.36
2024-08-15,1388.14,1377.73,1398.55
2024-08-16,1388.77,1378.36,1399.18
2024-08-17,1388.77,1378.36,1399.18
2024-08-18,1388.77,1378.36,1399.18
2024-08-19,1388.57,1378.16,1398.98
2024-08-20,1386.74,1376.33,1397.15
2024-08-21,1387.87,1377.46,1398.28
2024-08-22,1387.6,1377.19,1398.01
2024-08-23,1385.77,1375.36,1396.18
2024-08-24,1385.77,1375.36,1396.18
2024-08-25,1385.77,1375.36,1396.18
2024-08-26,1384.01,1373.6,1394.42
2024-08-27,1382.09,1371.68,1392.5
2024-08-28,1382.14,1371.73,1392.55
2024-08-29,1381.81,1371.4,1392.22
2024-08-30,1382.44,1372.03,1392.85
