예측날짜_일별,예측환율_일별,예측환율_일별_최소,예측환율_일별_최대
2024-07-20,,,
2024-07-21,,,
2024-07-22,1385.17,1378.89,1391.45
2024-07-23,1386.75,1380.47,1393.03
2024-07-24,1386.92,1380.64,1393.2
2024-07-25,1387.39,1381.11,1393.67
2024-07-26,1387.18,1380.9,1393.46
2024-07-27,1387.18,1380.9,1393.46
2024-07-28,1387.18,1380.9,1393.46
2024-07-29,1386.76,1380.48,1393.04
2024-07-30,1385.74,1379.46,1392.02
2024-07-31,1385.98,1379.7,1392.26
2024-08-01,1386.36,1380.08,1392.64
2024-08-02,1387.31,1381.03,1393.59
2024-08-03,1387.31,1381.03,1393.59
2024-08-04,1387.31,1381.03,1393.59
2024-08-05,1387.88,1381.6,1394.16
2024-08-06,1387.34,1381.06,1393.62
2024-08-07,1388.09,1381.81,1394.37
2024-08-08,1389.13,1382.85,1395.41
2024-08-09,1389.96,1383.68,1396.24
2024-08-10,1389.96,1383.68,1396.24
2024-08-11,1389.96,1383.68,1396.24
2024-08-12,1390.71,1384.43,1396.99
2024-08-13,1391.49,1385.21,1397.77
2024-08-14,1392.13,1385.85,1398.41
2024-08-15,1392.82,1386.54,1399.1
2024-08-16,1393.74,1387.46,1400.02
2024-08-17,1393.74,1387.46,1400.02
2024-08-18,1393.74,1387.46,1400.02
2024-08-19,1394.41,1388.13,1400.69
2024-08-20,1393.65,1387.37,1399.93
2024-08-21,1393.83,1387.55,1400.11
2024-08-22,1393.84,1387.56,1400.12
2024-08-23,1394.11,1387.83,1400.39
2024-08-24,1394.11,1387.83,1400.39
2024-08-25,1394.11,1387.83,1400.39
2024-08-26,1393.87,1387.59,1400.15
2024-08-27,1393.2,1386.92,1399.48
2024-08-28,1393.89,1387.61,1400.17
2024-08-29,1393.91,1387.63,1400.19
2024-08-30,1394.34,1388.06,1400.62
